Continent,Colony,CurrentNameOfTerritory,PeriodOfTime,ColonialPower,
Africa,Massawa (Eritrea),Eritrea,1557 -1884,Ottoman Empire [tbd],
Africa,Mauritania,Mauritania,1904 -1960,France,
Africa,Mauritius,Mauritius,1598 -1710,Netherlands,
Africa,Mauritius,Mauritius,1715 -1810,France,
Africa,Mauritius,Mauritius,1810 -1968,Great Britain,
Africa,"Mehdya (La Mamora,
Morocco)",Morocco,1614 -1681,Spain,
Africa,"Mers El K-bir (Mazalquivir,
Algeria)",Algeria,"1505 -1732
1708 -1792",Spain,
Africa,Mogadishu (Somalia),Somalia,1875,Ottoman Empire [tbd],
Africa,Mombasa (Kenya),Kenya,1500 -1729,Portugal,
Africa,Mombasa (Kenya),Kenya,1585 -1588,Ottoman Empire [tbd],
Africa,Monastir (Tunisia),Tunisia,1540/41 -1550,Spain,
Africa,Morocco,Morocco,1911 -1956,France,
Africa,"Morocco regions/cities: Ksar el-Kebir (Alc-cer-Ceguer), Asilah, Azemmour, El Jadida (Mazag-o), Mogador
(Essaouira), Safi, Agadir",Morocco,1458 -1769,Portugal,
Africa,"Mozambique, aka Portuguese
East Africa",Mozambique,1502 -1975,Portugal,
161,
Continent,Colony,Current name of territory,Period of time,Colonial power,
Africa,"Natal (southern Africa, part
of Cape Colony)",South Africa,1843 -1910,Great Britain,
Africa,Nigeria,Nigeria,1849 -1960,Great Britain,
Africa,Northern Rhodesia,Zambia,1911 -1964,Great Britain,
Africa,Nyasaland (southern Africa),Malawi,1891 -1964,Great Britain,
Africa,Oran (Algeria),Algeria,"1509 -1708
1732 -1792",Spain,
Africa,Oran (Algeria),Algeria,"1708 -1732
1792 -1831",Ottoman Empire [tbd],
Africa,Orange River,South Africa,1900 -1910,Great Britain,
Africa,Ouadane (Oden, Mauritania),Mauritania,"1487 -16th
century",Portugal,
Africa,Ouidah (Benin),Benin,1670s to 1680s,Netherlands,
Africa,Ouidah (Benin),Benin,1680 -1961,Portugal,
Africa,Pe-n of Algiers (Algeria),Algeria,"1510 -1529
1573 -1574",Spain,
Africa,Perejil Island,Perejil Island,1663 to date,Spain,
Africa,Portuguese Congo,Angola,1883 -1975,Portugal,
Africa,"Portuguese Gold Coast (Accra, Ford Duma, Fort San Sebastian, Fort S-o Jorge da Mina, Cape Coast Castle,
Fort Dom Pedro, Fort Car-)",Ghana,1482 -1690,Portugal,
Africa,Portuguese Guinea,Guinea-Bissau,1614 -1974,Portugal,
Africa,R-union,R-union,1640 to date,France,
Africa,Rwanda-Burundi,Rwanda,1916 -1962,Belgium,
Africa,Saint Helena,Saint Helena,1501 -1600,Portugal,
Africa,Saint Helena,"Saint Helena (British overseas
territory)",1600 -1651,Netherlands,
Africa,Saint Helena,"Saint Helena (British overseas
territory)",1659 to date,Great Britain,
Africa,Sao Tome,Sao Tome,1599 -1641,Netherlands,
Africa,Sao Tome and Principe,Sao Tome and Principe,1471/72 -1975,Portugal,
Africa,Senegal,Senegal,1612 -1960,France,
Africa,Senegambia,Senegambia,1765 -1783,Great Britain,
Africa,Seychelles,Seychelles,1811 -1976,Great Britain,
Africa,Seychelles,Seychelles,1756 -1811,France,
Africa,Sfax (Tunisia),Tunisia,1540/41 -1550,Spain,
Africa,Sierra Leone,Sierra Leone,1791 -1961,Great Britain,
Africa,Sousse (Tunisia),Tunisia,1540/41 -1550,Spain,
Africa,South Africa (dominion),South Africa,1910 -1931,Great Britain,
Africa,"South West Africa (League of Nations mandate of the Union of South Africa, end of man-
date 1946, then occupation)",Namibia,1919 -1990,Great Britain,
Africa,Southern Rhodesia,Zimbabwe,1891 -1965,Great Britain,
Africa,Spanish Guinea,Equatorial Guinea,1788 -1968,Spain,
Africa,Spanish Morocco (Rif ),Morocco,1912 -1956,Spain,
162,
Continent,Colony,Current name of territory,Period of time,Colonial power,
Africa,"Spanish West Africa (asso- ciation of Ifni and Spanish
Sahara)",Morocco,1934(46)-1958,Spain,
Africa,"Swedish Gold Coast (individ- ual bases around Cabo Corso
and Accra)",Ghana,1650 -1659,Sweden,
Africa,Tanganyika,Tanzania,1922 -1961,Great Britain,
Africa,Tangier (Morocco),Morocco,1471 -1661,Portugal,
Africa,The Belgian Congo,Congo,1885 -1960,Belgium,
Africa,Togo,Togo,1919 -1960,France,
Africa,Transvaal (South Africa),South Africa,1902 -1910,Great Britain,
Africa,Tripoli (Libya),Libya,"1509 -1530/
1551",Spain,
Africa,Tripoli (Libya),Libya,1551 -1912,Ottoman Empire [tbd],
Africa,Tunis (Tunisia),Tunisia,"1531 -1531
1574 -1912",Ottoman Empire [tbd],
Africa,Tunis (Tunisia),Tunisia,"1535 -1570
1573 -1574",Spain,
Africa,Tunisia,Tunisia,1881 -1956,France,
Africa,"Ubangi-Shari (Oubangui- Chari, part of the colony of
French Equatorial Guinea)",Central African Republic,1910 -1958,France,
Africa,Uganda,Uganda,1896 -1962,Great Britain,
Africa,Upper Senegal and Niger,Mali,1904 -1920,France,
Africa,Upper Volta,Burkina Faso,1919 -1932,France,
Africa,Wituland (East Africa),Kenya,1885 -1919,German Empire,
Africa,"Zanzibar (Tanzania, semi-
autonomous)",Tanzania,1503 -1698,Portugal,
Africa,"Zanzibar (Tanzania, semi-
autonomous)",Tanzania,1890 -1963,Great Britain,
Africa,Zeila (Somalia),Somalia,1548 -1884,Ottoman Empire [tbd],
Africa,"Ziguinchor (Senegal, handed
over to France in 1888)",Senegal,1645 -1888,Portugal,
America,Acadia (Canada),Canada,1604 -1710,France,
America,Alaska,Alaska,1741 -1867,Russia [tbd],
America,Anguilla,Anguilla,1650 to date,Great Britain,
America,Antigua and Barbuda,Barbuda,1632 -1981,Great Britain,
America,Bahamas,Bahamas,1717 -1973,Great Britain,
America,Barbados,Barbados,1536 -1620,Portugal,
America,Barbados,Barbados,1625 -1966,Great Britain,
America,Bermuda,Bermuda,1620 to date,Great Britain,
America,Brazil,Brazil,1500 -1822,Portugal,
America,British Columbia,Canada,1848 -1871,Great Britain,
America,British Guiana,Guiana,1831 -1966,Great Britain,
America,British Honduras,Belize,1798 -1981,Great Britain,
America,British Virgin Islands,British Virgin Islands,1672 to date,Great Britain,
163,
Continent,Colony,Current name of territory,Period of time,Colonial power,
America,Canada (dominion from 1867),Canada,1867 -1931,Great Britain,
America,Carolina,USA,1663 -1776,Great Britain,
America,Cayman Islands,Cayman Islands,1503 -1661,Spain,
America,Cayman Islands,Cayman Islands,1661 to date,Great Britain,
America,Cisplatina,Uruguay,1808 -1822,Portugal,
America,"Col-nia do Sacramento
(Uruguay)",Uruguay,"1680 -1777
1822 -1826",Portugal,
America,"Col-nia do Sacramento
(Uruguay)",Uruguay,1777 -1807,Spain,
America,Connecticut,USA,1639 -1776,Great Britain,
America,Cuba,Cuba,"1492 -1762
1763 -1898",Spain,
America,Cuba,Cuba,1898 -1901,USA,
America,"Danish West Indies (Caribbean: Lesser Antilles,
Virgin Islands)",Lesser Antilles,1666 -1917,Denmark,
America,Delaware,USA,1664 -1776,Great Britain,
America,Dominica,Dominica,1748 -1763,France,
America,Dominica,Dominica,1763 -1978,Great Britain,
America,Dutch Brazil,Brazil,1624 -1654,Netherlands,
America,Dutch Virgin Islands,British Virgin Islands,1625 -1672,Netherlands,
America,Equinoctial France,Brazil,1612 -1615,France,
America,Falkland Islands,Falkland Islands,1764 -1767,France,
America,Falkland Islands,Falkland Islands,1833 to date,Great Britain,
America,Florida,USA,1513 -1763,Spain,
America,Florida,USA,1763 -1776,Great Britain,
